gen,batch,idx,kind,kept,score,d_db,beam,eta,s11_worst,copper,peak_x,peak_y,npy,png
6,1,5,kid,0,7.509563,12.9731,0.6878,0.9785,-14.2913,164,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid005.png
6,1,6,kid,0,7.515925,12.9415,0.6877,0.9796,-14.0198,99,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid006.png
6,1,7,kid,0,7.485190,12.9310,0.6877,0.9726,-11.4472,145,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid007.png
6,1,8,kid,0,7.598938,12.9075,0.6877,0.9984,-21.3832,86,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid008.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid008.png
6,1,9,kid,0,7.601440,12.8990,0.6880,0.9991,-25.5910,87,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid009.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid009.png
6,1,10,kid,1,7.602573,12.8841,0.6883,0.9997,-27.8617,86,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid010.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid010.png
6,1,11,kid,0,7.586203,12.8415,0.6882,0.9961,-18.9911,81,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid011.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid011.png
6,1,12,kid,0,7.591193,12.8409,0.6883,0.9973,-20.3324,88,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid012.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid012.png
6,1,13,kid,0,7.593513,12.8356,0.6884,0.9979,-22.1869,91,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid013.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid013.png
6,1,14,kid,0,7.593523,12.8297,0.6885,0.9980,-22.5138,83,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid014.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid014.png
